# BlazingVoice3 医学辞書プリセット
# 出典: DMiME医学用語辞書 v1.1 + 皮膚科カスタム
# 形式: 読み/誤認識,正式表記,有効
# --- 皮膚科カスタム ---
2がたとうにょうびょうせいじんこうかしょう,2型糖尿病性腎硬化症,true
2がたとうにょうびょうせいじんしょう,2型糖尿病性腎症,true
2がたとうにょうびょうせいじんふぜん,2型糖尿病性腎不全,true
2がたとうにょうびょうせいすいほう,2型糖尿病性水疱,true
2がたとうにょうびょうせいせいしんしょうがい,2型糖尿病性精神障害,true
2がたとうにょうびょうせいそうようしょう,2型糖尿病性そう痒症,true
2がたとうにょうびょうせいたはつにゅーろぱちー,2型糖尿病性多発ニューロパチー,true
2がたとうにょうびょうせいたんにゅーろぱちー,2型糖尿病性単ニューロパチー,true
2がたとうにょうびょうせいちゅうしんせいもうまくしょう,2型糖尿病性中心性網膜症,true
2がたとうにょうびょうせいていけっとうせいこんすい,2型糖尿病性低血糖性昏睡,true
2がたとうにょうびょうせいどうみゃくこうかしょう,2型糖尿病性動脈硬化症,true
2がたとうにょうびょうせいどうみゃくへいそくしょう,2型糖尿病性動脈閉塞症,true
2がたとうにょうびょうせいにゅーろぱちー,2型糖尿病性ニューロパチー,true
2がたとうにょうびょうせいはくないしょう,2型糖尿病性白内障,true
2がたとうにょうびょうせいひふしょうがい,2型糖尿病性皮膚障害,true
2がたとうにょうびょうせいふしゅせいこうかしょう,2型糖尿病性浮腫性硬化症,true
2がたとうにょうびょうせいまっしょうけっかんしょう,2型糖尿病性末梢血管症,true
2がたとうにょうびょうせいまっしょうけっかんしょうがい,2型糖尿病性末梢血管障害,true
2がたとうにょうびょうせいまっしょうしんけいしょうがい,2型糖尿病性末梢神経障害,true
2がたとうにょうびょうせいみおぱちー,2型糖尿病性ミオパチー,true
2がたとうにょうびょうせいもうまくしょう,2型糖尿病性網膜症,true
2がたにょうさいかんせいあしどーしす,2型尿細管性アシドーシス,true
2どねっしょう,2度熱傷,true
3-めちるぐるたこんさんにょうしょう,3-メチルグルタコン酸尿症,true
3どねっしょう,3度熱傷,true
46XXしんせいはんいんよう,46XX真性半陰陽,true
4がたこらーげん,4型コラーゲン,true
4がたこらーげんななえす,4型コラーゲン・7S,true
4がたにょうさいかんせいあしどーしす,4型尿細管性アシドーシス,true
4どねっしょう,4度熱傷,true
4ばんたんわんけっしつ,4番短腕欠失,true
4ぶんの1はんもう,4分の1半盲,true
5-あるふぁかんげんこうそけっそんしょう,5-アルファ還元酵素欠損症,true
5p-しょうこうぐん,5p-症候群,true
5q-しょうこうぐん,5q-症候群,true
7がたむこたとうしょう,7型ムコ多糖症,true
8いんし,Ⅷ因子,true
9いんし,IX因子,true
A-Vぶろっく,A-Vブロック,true
A/Gひ,A/G比,true
AーPwindow,A-Pwindow,true
Abadieちょうこう,Abadie徴候,true
ABOあがた,ABO亜型,true
ABOいんしふてきごう,ABO因子不適合,true
ABOいんしふてきごうゆけつ,ABO因子不適合輸血,true
ABOふてきごうによるようけつせいひんけつ,ABO不適合による溶血性貧血,true
ABOふてきごうゆけつはんのう,ABO不適合輸血反応,true
ABOようけつせいしっかん,ABO溶血性疾患,true
ACTHさんせいかすいたいせんしゅ,ACTH産生下垂体腺腫,true
ACTHさんせいしゅよう,ACTH産生腫瘍,true
ACTHしけん,ACTH試験,true
ACTHたんどくけっそんしょう,ACTH単独欠損症,true
ACTHひいぞんせいだいけっせつせいふくじんひしつかけいせい,ACTH非依存性大結節性副腎皮質過形成,true
ACTHぶんぴかすいたいしゅよう,ACTH分泌下垂体腫瘍,true
ACTHぶんぴていかしょう,ACTH分泌低下症,true
ACばいぱすじゅつ,ACバイパス術後,true
ACばいぱすじゅつごきかいてきがっぺいしょう,ACバイパス術後機械的合併症,true
Adam-stokesしょうこうぐん,Adam-Stokes症候群,true
ADAけつぼうしょう,ADA欠乏症,true
Addisonびょう,Addison病,true
ADHいじょう,ADH異常,true
ADHいじょうぶんぴしょうこうぐん,ADH異常分泌症候群,true
ADHふてきごうぶんぴしょうこうぐん,ADH不適合分泌症候群,true
ADHぶんぴいじょうしょう,ADH分泌異常症,true
ADNASEBはんていりょう,ADNaseB半定量,true
AFP-L3ぶんかく,AFP-L3分画,true
AFPこうち,AFP高値,true
AHあみろいどーしす,AHアミロイドーシス,true
AIDSかんれんしょうこうぐん,AIDS関連症候群,true
AIDSけんさようせい,AIDS検査陽性,true
ALKいんせいみぶんかだいさいぼうりんぱしゅ,ALK陰性未分化大細胞リンパ腫,true
ALKゆうごういでんしようせいひしょうさいぼうはいがん,ALK融合遺伝子陽性非小細胞肺癌,true
ALKゆうごうたんぱく,ALK融合タンパク,true
ALKようせいだいさいぼうがたBさいぼうせいりんぱしゅ,ALK陽性大細胞型B細胞性リンパ腫,true
ALKようせいみぶんかだいさいぼうりんぱしゅ,ALK陽性未分化大細胞リンパ腫,true
Alportしょうこうぐん,Alport症候群,true
ALあみろいどーしす,ALアミロイドーシス,true
ANCAかんれんけっかんえん,ANCA関連血管炎,true
ANCAかんれんじんえん,ANCA関連腎炎,true
Ann-Arborぶんるい,Ann-Arbor分類,true
Antonしょうこうぐん,Anton症候群,true
APTTくろすみきしんぐしけん,APTTクロスミキシング試験,true
Arias-Stellaはんのう,Arias-Stella反応,true
Ashermanしょうこうぐん,Asherman症候群,true
ASKか,ASK価,true
ASOか,ASO価,true
ASPはんていりょう,ASP半定量,true
AT3,AT-3,true
Auerしょうたい,Auer小体,true
Austinflintざつおん,Austin-Flint雑音,true
Aがたいえん,A型胃炎,true
Aがたがいしゃし,A型外斜視,true
Aがたかんえん,A型肝炎,true
Aがたげきしょうかんえん,A型劇症肝炎,true
Aがたしょくどうへいさ,A型食道閉鎖,true
Aがたないしゃし,A型内斜視,true
Aぐん,A群,true
Aぐんべーたようれんきんじんそく,A群β溶連菌迅速,true
Aぐんれんさきゅうきんはいけつしょう,A群連鎖球菌敗血症,true
Babinskiちょうこう,Babinski徴候,true
Babinskiはんしゃ,Babinski反射,true
Bantiしょうこうぐん,Banti症候群,true
Bardet-Biedlしょうこうぐん,Bardet-Biedl症候群,true
Bartholinせんのうよう,Bartholin腺膿瘍,true
Bartterしょうこうぐん,Bartter症候群,true
Basedowびょう,Basedow病,true
BBがたはんせんびょう,BB型ハンセン病,true
BCGふくはんのう,BCG副反応,true
BCR-ABL1ようせいBりんぱがきゅうせいはっけつびょう,BCR-ABL1陽性Bリンパ芽球性白血病,true
BCR-ABL1ようせいBりんぱがきゅうせいはっけつびょう/りん,BCR-ABL1陽性Bリンパ芽球性白血病/リンパ腫,true
BCR-ABL1ようせいBりんぱがきゅうせいりんぱしゅ,BCR-ABL1陽性Bリンパ芽球性リンパ腫,true
BCR-ABLゆうごういでんし,BCR-ABL融合遺伝子,true
Beckerがた,Becker型,true
Beckerがたきんじすとろふぃー,Becker型筋ジストロフィー,true
Bernard-Soulierしょうこうぐん,Bernard-Soulier症候群,true
Berryじんたい,Berry靭帯,true
BH4はんのうせいこうふぇにるあらにんけっしょう,BH4反応性高フェニルアラニン血症,true
Biiotこきゅう,Biot呼吸,true
BILそう,BIL/総,true
BILちょく,BIL/直,true
BILていりょう,BIL定量,true
BILほう,BIL/抱,true
Biotこきゅう,Biot呼吸,true
Birbeckかりゅう,Birbeck顆粒,true
BJたんぱく,B-J蛋白,true
BKういるすじんしょう,BKウイルス腎症,true
Blalock-Taussigしゅじゅつ,Blalock-Taussig手術,true
Blalock-Taussigたんらくじゅつ,Blalock-Taussig短絡術,true
Bland-White-Garlandしょうこうぐん,Bland-White-Garland症候群,true
BLNARかんせんしょう,BLNAR感染症,true
Bloch-Sulzbergerしょうこうぐん,Bloch-Sulzberger症候群,true
Blumbergちょうこう,Blumberg徴候,true
BLがたはんせんびょう,BL型ハンセン病,true
Bochdalekへるにあ,Bochdalekヘルニア,true
Boerhaaveしょうこうぐん,Bouerhaave症候群,true
Borrmann1がた,Borrmann1型,true
Borrmann2がた,Borrmann2型,true
Borrmann3がた,Borrmann3型,true
Borrmann4がた,Borrmann4型,true
Borrmannぶんるい,Borrmann分類,true
BPS,BPS（Biophysical profile scoring),true
Brinkmanしすう,Brinkman指数,true
Brocaしつご,Broca失語,true
Brodieこつのうよう,Brodie骨膿瘍,true
Brugadaしょうこうぐん,Brugada症候群,true
Brunsがんしん,Bruns眼振,true
BTがたはんせんびょう,BT型ハンセン病,true
Budd-Chiariしょうこうぐん,Budd-Chiari症候群,true
Burkitりんぱしゅ,Burkitリンパ腫,true
Bがた,B型,true
Bがたいんすりんじゅようたいいじょうしょう,B型インスリン受容体異常症,true
Bがたうぃるすかんえん,B型ウィルス肝炎,true
Bがたかんえん,B型肝炎,true
Bがたかんえんういるすかんせん,B型肝炎ウイルス感染,true
Bがたかんこうへん,B型肝硬変,true
Bがたきゅうせいかんえん,B型急性肝炎,true
Bがたげきしょうかんえん,B型劇症肝炎,true
Bがたまんせいかんえん,B型慢性肝炎,true
Bぐん,B群,true
Bぐんようれんきんかんせんしょう,B群溶連菌感染症,true
Bぐんようれんきんほきんしゃ,B群溶連菌保菌者,true
Bぐんれんさきゅうきんせいせんてんせいはいえん,B群連鎖球菌性先天性肺炎,true
Bぐんれんさきゅうきんはいえん,B群連鎖球菌肺炎,true
Bさいぼうがたまんせいりんぱせいはっけつびょう,B細胞型慢性リンパ性白血病,true
Bさいぼうせいいしょくごりんぱぞうしょくせいしっかん,B細胞性移植後リンパ増殖性疾患,true
Bさいぼうせいぜんりんぱきゅうせいはっけつびょう,B細胞性前リンパ球性白血病,true
Bさいぼうりんぱしゅ,B細胞リンパ腫,true
Bりんぱがきゅうせいはっけつびょう,Bリンパ芽球性白血病,true
Bりんぱがきゅうせいはっけつびょう/りんぱしゅ,Bリンパ芽球性白血病/リンパ腫,true
Bりんぱがきゅうせいりんぱしゅ,Bリンパ芽球性リンパ腫,true
C0きゅうかPul,C0急化Pul,true
C1",C1”,true
C2",C2”,true
C3",C3”,true
C3dけつごうめんえきふくごうたい,C3d結合免疫複合体,true
C3ぷろあくちべーた,C3プロアクチベータ,true
CA125こうち,CA125高値,true
CA15-3こうち,CA15-3高値,true
CA153,CA15-3,true
CA19-9こうち,CA19-9高値,true
CA199,CA19-9,true
CA50,CA-50,true
CA54,CA54/61,true
CA724,CA72-4,true
CAGはんぷく,CAG反復,true
CAGりぴーと,CAGリピート,true
Cakikkouyaku,Ca拮抗薬,true
CAMP,C-AMP,true
CAPDかてーてるいちいじょう,CAPDカテーテル位置異常,true
CAPDかてーてるとんねるかんせん,CAPDカテーテルトンネル感染,true
CAPDでぐちぶかんせん,CAPD出口部感染,true
CAPDふくまくえん,CAPD腹膜炎,true
Carhartかんおう,Carhart陥凹,true
Carnettちょうこう,Carnett徴候,true
Caroliびょう,Caroli病,true
Caきっこうやく,Ca拮抗薬,true
CCR4ようせいせいじんTさいぼうはっけつびょうりんぱしゅ,CCR4陽性成人T細胞白血病リンパ腫,true
CCR4ようせいひふTさいぼうりんぱしゅ,CCR4陽性皮膚T細胞リンパ腫,true
CCR4ようせいまっしょうせいTさいぼうりんぱしゅ,CCR4陽性末梢性T細胞リンパ腫,true
CD4/8ひ,CD4/8比,true
CEAこうち,CEA高値,true
Chaddockはんしゃ,Chaddock反射,true
Charcot-Leydenけっしょう,Charcot-Leyden結晶,true
Charcot-Marie-Toothびょう,Charcot-Marie-Tooth病,true
Charcot3ちょう,Charcot3徴,true
CHARGEしょうこうぐん,CHARGE症候群,true
Chediak-Higashiしょうこうぐん,Chédiak-Higashi症候群,true
Cheyne-stokesこきゅう,Cheyne-Stokes呼吸,true
Chiariきけい,Chiari奇形,true
Child-Pughぶんるい,Child-Pugh分類,true
Chvostekちょうこう,Chvostek徴候,true
CKあいそふぉーむ,CKアイソフォーム,true
CMかんせつだっきゅう,CM関節脱臼,true
CMかんせつだっきゅうこっせつ,CM関節脱臼骨折,true
CMかんせつへんけいせいかんせつしょう,CM関節変形性関節症,true
CO2なるこーしす,CO2ナルコーシス,true
Codmanさんかく,Codman三角,true
Collesこっせつ,Colles骨折,true
Congo-redせんしょく,Congo-Red染色,true
Coombsしけん,Coombs試験,true
Couinaudぶんるい,Couinaud分類,true
Courvoisierちょうこう,Courvoisier徴候,true
COきゅうかPul,CO急化Pul,true
CPT1けっそんしょう,CPT1欠損症,true
CPT2けっそんしょう,CPT2欠損症,true
CPTHrP,C-PTHrP,true
CR3けっそんしょう,CR3欠損症,true
CRESTしょうこうぐん,CREST症候群,true
Creutzfeldt-Jacobびょう,Creutzfeldt-Jacob病,true
CRHさんせいしゅよう,CRH産生腫瘍,true
CRHふかしけん,CRH負荷試験,true
Crigler-Najjarしょうこうぐん,Crigler-Najjar症候群,true
Crouzonびょう,Crouzon病,true
CSLEXこうげん,CSLEX抗原,true
CTさつえい,CT撮影,true
CTち,CT値,true
Cullenちょうこう,Cullen徴候,true
Curschmannらせんたい,Curschmann螺旋体,true
Cushingげんしょう,Cushing現象,true
Cushingしょうこうぐん,Cushing症候群,true
CYFRAこうち,CYFRA高値,true
Cがた,C型,true
Cがたかんえん,C型肝炎,true
Cがたかんえんういるすかんせん,C型肝炎ウイルス感染,true
Cがたかんこうへん,C型肝硬変,true
Cがたきゅうせいかんえん,C型急性肝炎,true
Cがたげきしょうかんえん,C型劇症肝炎,true
Cがたしょくどうへいさ,C型食道閉鎖,true
Cがたまんせいかんえん,C型慢性肝炎,true
Cかんりちゅう,C管理中,true
Cちすてんさいりゅう,C-チステン細粒,true
Cちすてんしろっぷ,C-チステンシロップ,true
Cはんのうせいたんぱく,C反応性蛋白,true
Danceちょうこう,Dance徴候,true
DATすきゃん,DATスキャン,true
DDだいまーていせい,D-Dダイマー定性,true
DDだいまーていりょう,D-Dダイマー定量,true
DeBakeyぶんるい,DeBakey分類,true
Denverしきはったつすくりーにんぐけんさ,Denver式発達スクリーニング検査,true
DHEAS,DHEA-S,true
Diamond-blackfanしょうこうぐん,Diamond-Blackfan症候群,true
Digeorgeしょうこうぐん,Digeorge症候群,true
DIPかんせつ,DIP関節,true
DIPかんせつえん,DIP関節炎,true
DIPかんせつかいほうせいだっきゅうこっせつ,DIP関節開放性脱臼骨折,true
DIPかんせつしゃくそくそくふくじんたいそんしょう,DIP関節尺側側副靱帯損傷,true
DIPかんせつそくふくじんたいそんしょう,DIP関節側副靱帯損傷,true
DIPかんせつだっきゅう,DIP関節脱臼,true
DIPかんせつだっきゅうこっせつ,DIP関節脱臼骨折,true
DIPかんせつとうそくそくふくじんたいそんしょう,DIP関節橈側側副靱帯損傷,true
DIPかんせつないこっせつ,DIP関節内骨折,true
DIPかんせつねんざ,DIP関節捻挫,true
DIPかんせつぶがんぐりおん,DIP関節部ガングリオン,true
DIPかんせつへんけいせいかんせつしょう,DIP関節変形性関節症,true
Dix-Hallpikeしけん,Dix-Hallpike試験,true
DKSふんごうをともなうだいどうみ,DKS吻合を伴う大動脈狭窄症手術,true
Dlえんさんめちるえふぇどりん,dl-塩酸メチルエフェドリン,true
Dlかんふる,dl-カンフル,true
DMいME,DMiME,true
DNAめらーぜ,DNAポリメラーゼ,true
Donath-Landsteinerこうたい,Donath-Landsteiner抗体,true
Donath-Landsteinerしけん,Donath-Landsteiner試験,true
Drehmannちょうこう,Drehmann徴候,true
Dresslerしょうこうぐん,Dressler症候群,true
Dubin-Johnsonしょうこうぐん,Dubin-Johnson症候群,true
Duchenneがた,Duchenne型,true
Duchenneがたきんじすとろふぃー,Duchenne型筋ジストロフィー,true
Duhringほうしんじょうひふえん,Duhring疱疹状皮膚炎,true
Duncanようしき,Duncan様式,true
DUPAN2,DUPAN-2,true
Dupuytrenこうしゅく,Dupuytoren拘縮,true
Dあらびにとーる,D-アラビニトール,true
Dがた,D型,true
Dがたかんえん,D型肝炎,true
Dかんふる,d-カンフル,true
Dぐんれんさきゅうきんはいけつしょう,D群連鎖球菌敗血症,true
Dそるびとーる,D-ソルビトール,true
Dふてきごう,D不適合,true
Dまんにとーるちゅうしゃえき,D-マンニトール注射液,true
dみめ,DMiME,true
E2A-PBX1ようせいBりんぱがきゅうせいはっけつびょう,E2A-PBX1陽性Bリンパ芽球性白血病,true
E2A-PBX1ようせいBりんぱがきゅうせいはっけつびょう/りん,E2A-PBX1陽性Bリンパ芽球性白血病/リンパ腫,true
E2A-PBX1ようせいBりんぱがきゅうせいりんぱしゅ,E2A-PBX1陽性Bリンパ芽球性リンパ腫,true
EBNAこうたい,EBNA抗体,true
Ebsteinきけい,Ebstein奇形,true
EBういるすかんえん,EBウイルス肝炎,true
EBういるすかんせんしょう,EBウイルス感染症,true
EBういるすかんれんめんえきふぜんしょう,EBウイルス関連免疫不全症,true
EBういるすこうたいか,EBウイルス抗体価,true
EBういるすでんせんせいたんかくしょう,EBウイルス伝染性単核症,true
EBういるすはいえん,EBウイルス肺炎,true
ECGしんだん,ECG診断,true
ECGふか,ECG負荷,true
ECGふかしんだん,ECG負荷診断,true
EDTAいぞんせいぎせいけっしょうばんげんしょうしょう,EDTA依存性偽性血小板減少症,true
EDちゅーぶそうにゅうじゅつ,EDチューブ挿入術,true
EEG3,EEG3-,true
EEG34,EEG3-4,true
EEG5,EEG5-,true
EEG56,EEG5-6,true
EEGしんだん,EEG診断,true
EFSじょうけっちょう,EF-S状結腸,true
EFいじゅうにしちょう,EF-胃・十二指腸,true
EFかこうけっちょうおよびおうこうけっ,EF-下行結腸及び横行結腸,true
EFきかんし,EF-気管支,true
EFきゅうれつびいんふくびくう,EF-嗅裂・鼻咽・副鼻腔,true
EFこうとう,EF-喉頭,true
EFしきゅう,EF-子宮,true
EFじょうこうけっちょうおよびもうち,EF-上行結腸及び盲腸,true
EFしょうちょう,EF-小腸,true
EFしょくどう,EF-食道,true
EFたんどう,EF-胆道,true
EFちゅうじ,EF-中耳,true
EFちょくちょう,EF-直腸,true
EFふくくう,EF-腹腔,true
EFぼうこうにょうどう,EF-膀胱尿道,true
EGFRいでんしへんいようせいひしょうさいぼうはいがん,EGFR遺伝子変異陽性非小細胞肺癌,true
EGFRたんぱく,EGFRタンパク,true
Ehlers-Danlosしょうこうぐん,Ehlers-Danlos症候群,true
Eisenmengerふくごうしょう,Eisenmenger複合症,true
Ellsworth-Howardしけん,Ellsworth-Howard試験,true
embeddedまいふくし,embedded埋伏歯,true
EPHーげすとーじす,EPHーゲストージス,true
EPLかぷせる,EPLカプセル,true
Erbまひ,Erb麻痺,true
ERCPごすいえん,ERCP後膵炎,true
ESBLさんせいきんかんせんしょう,ESBL産生菌感染症,true
ESWLこうじんひまくかけっしゅ,ESWL後腎皮膜下血腫,true
ESぽりたみんはいごうかりゅう,ESポリタミン配合顆粒,true
Euthyroidsickしょうこうぐん,Euthyroid Sick症候群,true
Evansしょうこうぐん,Evans症候群,true
Ewingにくしゅ,Ewing肉腫,true
Eがた,E型,true
Eがたかんえん,E型肝炎,true
Eがたげきしょうかんえん,E型劇症肝炎,true
Fabryびょう,Fabry病,true
FADしろっぷ,FADシロップ,true
FADてんがんえき,FAD点眼液,true
Fallotしちょうしょう,Fallot四徴症,true
Fanconiしょうこうぐん,Fanconi症候群,true
Fanconiひんけつ,Fanconi貧血,true
Fha,F波,true
Finkelsteinてすと,Finkelsteinテスト,true
Fishbergのうしゅくしけん,Fishberg濃縮試験,true
FKはいごうさん,FK配合散,true
Fontaineぶんるい,Fontaine分類,true
Forschheimerはん,Forschheimer斑,true
Fowlerい,Fowler位,true
Friedreichうんどうしっちょうしょう,Friedreich運動失調症,true
Frohlichしょうこうぐん,Frohlich症候群,true
Frohlichしょうこうぐん,Fröhlich症候群,true
FSHさんせいかすいたいせんしゅ,FSH産生下垂体腺腫,true
FSHたんどくけっそんしょう,FSH単独欠損症,true
FTA,FTA-ABS,true
FTAABSていせい,FTA-ABS定性,true
FTAABSはんていりょう,FTA-ABS半定量,true
fは,f波,true
G6Pase,G-6-Pase,true
G6PDHていりょう,G-6-PDH定量,true
G6PDけつぼうせいひんけつ,G6PD欠乏性貧血,true
GADこうたい,GAD抗体価,true
GALTけっそんしょう,GALT欠損症,true
Ganserしょうこうぐん,Ganser症候群,true
Gaucherびょう,Gaucher病,true
GBSはいけつしょう,GBS敗血症,true
Gecklerぶんるい,Geckler分類,true
Gerstmannしょうこうぐん,Gerstmann症候群,true
GHRHふかしけん,GHRH負荷試験,true
GHぶんぴふぜん,GH分泌不全,true
Gianottiびょう,Gianotti病,true
Gibertばらいろひこうしん,Gibertばら色粃糠疹,true
Gilbertしょうこうぐん,Gilbert症候群,true
Gitelmanしょうこうぐん,Gitelman症候群,true
Glanzmannびょう,Glanzmann病,true
GM1がんぐりおしどーしす,GM1ガングリオシドーシス,true
GM2がんぐりおしどーしす,GM2ガングリオシドーシス,true
GM2がんぐりおしどーしす1がた,GM2ガングリオシドーシス1型,true
GM2がんぐりおしどーしす2がた,GM2ガングリオシドーシス2型,true
GM2がんぐりおしどーしす3がた,GM2ガングリオシドーシス3型,true
GM3がんぐりおしどーしす,GM3ガングリオシドーシス,true
Gomori-Trichromeせんしょく,Gomori-Trichrome染色,true
Goodpastureしょうこうぐん,Googpasture症候群,true
Gowersちょうこう,Gowers徴候,true
GPIあんかーたんぱく,GPIアンカー蛋白,true
Gramせんしょく,Gram染色,true
Gravesびょう,Graves病,true
Grocottせんしょく,Grocott染色,true
Grossぶんるい,Gross分類,true
Guillan-Barreしょうこうぐん,Guillain-Barré症候群,true
GVHDこつずいいしょくご,GVHD・骨髄移植後,true
